time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-08-12T03:13:38.870Z,35.3905,-117.7151667,10.93,0.95,ml,19,80,0.09285,0.21,ci,ci37225615,2015-08-12T03:18:06.222Z,"8km WNW of Johannesburg, California",earthquake
2015-08-12T03:09:46.330Z,34.3513333,-116.8518333,5.741,0.9,ml,17,147,0.1056,0.23,ci,ci37225607,2015-08-12T03:14:17.276Z,"10km N of Big Bear City, California",earthquake
2015-08-12T02:54:42.890Z,40.5791664,-124.1119995,18.34,1.41,md,10,166,0.1619,0.09,nc,nc72504726,2015-08-12T02:56:19.090Z,"3km NNW of Hydesville, California",earthquake
2015-08-12T02:44:51.180Z,24.6516,94.8248,40.73,4.5,mb,,115,2.841,0.57,us,us100031bx,2015-08-12T03:29:04.500Z,"76km E of Yairipok, India",earthquake
2015-08-12T02:38:28.000Z,60.168,-140.9806,16,1.8,ml,,,,0.7,ak,ak11676254,2015-08-12T03:06:09.902Z,"81km E of Cape Yakataga, Alaska",earthquake
2015-08-12T02:22:09.000Z,63.1504,-150.4542,119.6,1.3,ml,,,,0.3,ak,ak11676250,2015-08-12T02:41:22.907Z,"80km WSW of Cantwell, Alaska",earthquake
2015-08-12T01:59:32.980Z,33.7798333,-116.9013333,11.229,0.64,ml,23,83,0.09439,0.2,ci,ci37225591,2015-08-12T02:03:40.252Z,"4km NNW of Valle Vista, California",earthquake
2015-08-12T01:47:16.000Z,60.511,-142.994,8,1.6,ml,,,,0.57,ak,ak11676236,2015-08-12T02:16:25.040Z,"58km NNW of Cape Yakataga, Alaska",earthquake
2015-08-12T01:40:13.120Z,38.7981682,-122.7968369,0.39,0.55,md,7,159,0.008567,0.01,nc,nc72504686,2015-08-12T01:41:49.540Z,"4km WNW of The Geysers, California",earthquake
2015-08-12T01:34:13.290Z,33.6851667,-116.7576667,15.479,0.83,ml,27,70,0.04458,0.18,ci,ci37225559,2015-08-12T01:47:11.012Z,"7km SSW of Idyllwild, California",earthquake
2015-08-12T01:16:44.000Z,62.243,-150.834,59.7,3,ml,,,,0.75,ak,ak11676220,2015-08-12T01:53:51.376Z,"38km WSW of Talkeetna, Alaska",earthquake
2015-08-12T01:15:34.090Z,33.6905,-116.8628333,15.881,0.57,ml,14,101,0.05096,0.11,ci,ci37225527,2015-08-12T01:46:38.297Z,"7km SSE of Valle Vista, California",earthquake
2015-08-12T01:00:37.810Z,45.9356667,-121.9386667,9.355,1.05,md,19,101,0.1961,0.13,uw,uw61065291,2015-08-12T01:19:36.730Z,"25km NNW of Carson, Washington",earthquake
2015-08-12T01:00:12.000Z,60.1213,-141.0665,19.8,1.1,ml,,,,0.24,ak,ak11676218,2015-08-12T01:29:20.360Z,"76km E of Cape Yakataga, Alaska",earthquake
2015-08-12T00:42:42.530Z,38.7873344,-122.7633362,1.84,1.03,md,13,85,0.0167,0.03,nc,nc72504671,2015-08-12T00:44:20.110Z,"1km NNW of The Geysers, California",earthquake
2015-08-12T00:27:04.000Z,60.4634,-147.5877,15.6,1.4,ml,,,,0.18,ak,ak11676185,2015-08-12T00:41:25.488Z,"69km ESE of Whittier, Alaska",earthquake
2015-08-12T00:22:34.070Z,35.2725,-118.5986667,7.792,1.74,ml,30,45,0.08455,0.23,ci,ci37225495,2015-08-12T00:26:46.296Z,"21km NW of Tehachapi, California",earthquake
2015-08-12T00:14:40.350Z,-31.6953,-71.6549,33.86,5.1,mb,,73,0.743,1.08,us,us100031b7,2015-08-12T01:29:33.354Z,"46km W of Illapel, Chile",earthquake
2015-08-12T00:03:10.760Z,35.3233333,-119.8753333,4.816,0.68,ml,6,164,0.02847,0.17,ci,ci37225479,2015-08-12T00:22:09.778Z,"12km ESE of Simmler, California",earthquake
2015-08-11T23:57:25.880Z,33.064,-116.5568333,9.908,0.56,ml,11,111,0.03815,0.23,ci,ci37225471,2015-08-12T00:21:37.191Z,"4km ESE of Julian, California",earthquake
2015-08-11T23:56:24.090Z,33.9965,-116.7353333,17.39,0.84,ml,21,74,0.1705,0.25,ci,ci37225463,2015-08-12T00:20:49.820Z,"10km NNE of Cabazon, California",earthquake
2015-08-11T23:53:45.000Z,60.1571,-140.9548,16.1,2,ml,,,,0.91,ak,ak11676177,2015-08-12T00:41:24.904Z,"82km E of Cape Yakataga, Alaska",earthquake
2015-08-11T23:44:22.510Z,46.1998333,-122.1811667,3.779,1.4,md,8,82,0.006563,0.09,uw,uw61065281,2015-08-12T01:25:16.370Z,"38km NNE of Amboy, Washington",earthquake
2015-08-11T23:34:29.000Z,60.1525,-140.977,17.4,1.4,ml,,,,0.49,ak,ak11676174,2015-08-11T23:53:42.432Z,"81km E of Cape Yakataga, Alaska",earthquake
2015-08-11T23:24:39.150Z,38.8419991,-122.840332,2.36,0.57,md,14,75,0.00509,0.01,nc,nc72504646,2015-08-11T23:26:14.540Z,"10km WNW of Cobb, California",earthquake
2015-08-11T23:04:23.320Z,33.661,-116.7715,12.12,1.3,ml,46,39,0.06742,0.17,ci,ci37225439,2015-08-11T23:15:00.390Z,"10km SSW of Idyllwild, California",earthquake
2015-08-11T23:01:07.390Z,19.3603333,-155.6005,13.572,1.45,md,40,48,0.04934,0.1,hv,hv61004186,2015-08-12T01:14:19.440Z,"21km NW of Pahala, Hawaii",earthquake
2015-08-11T22:53:34.350Z,45.921,-121.945,11.011,0.71,md,8,206,0.2082,0.09,uw,uw61065271,2015-08-11T23:06:28.871Z,"23km NNW of Carson, Washington",earthquake
2015-08-11T22:46:13.850Z,71.7837,-1.683,10,4.6,mb,,85,6.687,0.81,us,us100031aw,2015-08-11T23:13:09.116Z,"268km ENE of Olonkinbyen, Svalbard and Jan Mayen",earthquake
2015-08-11T22:19:18.000Z,63.8073,-149.1192,107.6,2.8,ml,,,,0.52,ak,ak11676132,2015-08-11T22:43:55.777Z,"9km SW of Healy, Alaska",earthquake
2015-08-11T22:12:36.760Z,48.194,-124.4926667,32.043,1.75,ml,8,128,0.04464,0.33,uw,uw61065261,2015-08-11T23:08:22.580Z,"21km SSE of Neah Bay, Washington",earthquake
2015-08-11T22:01:34.000Z,60.9169,-152.2771,50,1.3,ml,,,,,ak,ak11676128,2015-08-11T22:19:11.780Z,"54km NNE of Redoubt Volcano, Alaska",earthquake
2015-08-11T21:55:25.000Z,60.0678,-141.1464,4.1,1.5,ml,,,,0.65,ak,ak11676096,2015-08-11T22:19:11.174Z,"71km E of Cape Yakataga, Alaska",earthquake
2015-08-11T21:48:08.330Z,33.4946667,-116.4793333,16.193,0.4,ml,19,98,0.05319,0.19,ci,ci37225423,2015-08-11T21:52:14.620Z,"19km ESE of Anza, California",earthquake
2015-08-11T21:33:56.210Z,33.4725,-116.5691667,9.638,0.43,ml,18,109,0.03539,0.14,ci,ci37225407,2015-08-11T21:37:43.903Z,"13km SE of Anza, California",earthquake
2015-08-11T21:21:22.000Z,36.2004,-97.2865,7.889,2.7,ml,,72,,0.57,us,us100031aj,2015-08-12T01:16:00.876Z,"9km S of Perry, Oklahoma",earthquake
2015-08-11T21:19:57.450Z,34.0355,-118.8923333,5.757,1.78,ml,18,214,0.07746,0.34,ci,ci37225383,2015-08-11T21:24:45.461Z,"8km WNW of Malibu, California",earthquake
2015-08-11T21:14:52.930Z,33.8648333,-117.5125,0.012,1.35,ml,18,83,0.07342,0.26,ci,ci37225375,2015-08-11T21:20:39.518Z,"2km SSE of Home Gardens, California",quarry blast
